	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70		
Positive_DS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Respond_Cyst	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Diagnostic_Cyst	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
TURBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
FP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
FN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
																																																																									
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69			
TOTAL_COSTS	0	0.007671305	0.040511643	0.10669684	0.196901877	0.299148104	0.404842337	0.528522194	0.673412268	0.824372744	0.986754816	1.171176362	1.369989917	1.585041453	1.810776038	2.038628155	2.27622754	2.556295262	2.887657207	3.24536751	3.608334223	3.989362096	4.415368439	4.884900172	5.386665806	5.913109563	6.495148267	7.128366442	7.789524538	8.483346157	9.232479763	10.04425802	10.90682653	11.83118765	12.84118174	13.94630494	15.1604145	16.45384309	17.82582035	19.27546918	20.77574801	23.35467725	25.95705253	27.64019303	29.37055587	31.15980339	33.00945361	34.89572184	36.82076129	38.78606304	40.79884833	42.83052181	44.82336148	46.77810768	48.71183612	50.62345159	52.48822975	54.2503014	55.93015256	57.50956908	58.95425551	60.26688514	61.43484467	62.47003879	63.3729645	64.13566973	64.77317747	65.29412717	65.70778812	66.03726728			
BC_COSTS	0	0.007671305	0.040511643	0.10669684	0.196901877	0.299148104	0.404842337	0.528522194	0.673412268	0.824372744	0.986754816	1.171176362	1.369989917	1.585041453	1.810776038	2.038628155	2.27622754	2.556295262	2.887657207	3.24536751	3.608334223	3.989362096	4.415368439	4.884900172	5.386665806	5.913109563	6.495148267	7.128366442	7.789524538	8.483346157	9.232479763	10.04425802	10.90682653	11.83118765	12.84118174	13.94630494	15.1604145	16.45384309	17.82582035	19.27546918	20.77574801	22.40302557	24.08593063	25.76907113	27.49943397	29.28868149	31.13833171	33.02459994	34.94963939	36.91494114	38.92772643	40.95939991	42.95223958	44.90698578	46.84071422	48.75232969	50.61710785	52.3791795	54.05903066	55.63844718	57.08313361	58.39576324	59.56372277	60.59891689	61.5018426	62.26454783	62.90205557	63.42300527	63.83666622	64.16614538			
