1	2	3	4	5	6	7	8	9	10				1	2	3	4	5	6	7	8	9	10
74	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		74	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
75	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		75	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
76	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		76	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
77	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		77	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
78	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		78	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
79	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		79	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
80	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		80	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
81	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		81	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
82	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		82	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
83	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		83	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
84	86.5	81.775	77.05	72.325	67.6	66.716	65.832	64.948	64.064	63.18		84	0.135	0.054624277	0.057780495	0.061323816	0.065330107	0.013076923	0.013250195	0.01342812	0.013610889	0.013798701
85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		85	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		86	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		87	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		88	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
