"","Accept","posterior_proposal","posterior_current"
"115",1,-9698000.51145057,-55621120.6833874
"116",0,-62483764.0342662,-20337345.2158792
"117",0,-90757909.4556853,-17909016.7552295
"118",0,-74349135.2567971,-13475225.8754217
"119",1,-31035023.5724164,-144690307.879238
"120",1,-58748174.8205833,-75332859.5460815
"121",0,-29189866.4951356,-19472002.9109599
"122",0,-76792402.0886814,-29693466.826636
"123",0,-32259688.9013944,-20682687.0998556
"124",0,-45309053.9796083,-21671796.4032851
"125",0,-95134407.8061059,-68232300.9731067
"126",1,-55701899.7245615,-102301647.686278
"127",1,-15599792.4604427,-51031186.4561249
"128",1,-7787840.29959366,-88320582.4869551
"129",1,-8504113.47278394,-36830556.2444727
"130",0,-32096082.6377109,-13199757.1173649
"131",1,-37939307.1388059,-38535575.3086567
"132",0,-17259697.031751,-8847035.35361766
"133",1,-18577093.6893461,-19226166.9366003
"134",1,-7578929.91252549,-29037318.1766254
"135",0,-19539402.2808328,-2669612.22697838
"136",0,-43652915.1097837,-6802149.11619216
"137",1,-8332628.94238042,-36438673.6013418
"138",0,-14048260.9098604,-6479669.8201528
"139",0,-81511355.9661303,-65645321.8500197
"140",1,-19692609.0805642,-23646338.6720361
"141",0,-44538076.8455987,-7723535.76076384
"142",0,-39468909.0837606,-6579761.70065409
"143",1,-4681179.24820133,-14691100.7239661
"144",1,-9925436.62921597,-15310875.3071099
"145",1,-44250530.4477387,-161792065.040765
"146",0,-74981466.3303829,-65563276.0301303
"147",0,-256836324.088083,-61693052.4859646
"148",0,-49657528.2411659,-40818809.8887816
"149",1,-33542136.6608866,-65330137.3196391
"150",1,-51868068.5269516,-82188029.234731
"151",1,-41669512.5840954,-84990298.5876031
