"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"all.symptomatic"
"289"	0.992	0	0	0.008	0	0	0	0	0
"290"	0.956	0	0	0.044	0	0	0	0	0
"291"	0.956	0	0	0.044	0	0	0	0	0
"292"	0.968	0	0	0.032	0	0	0	0	0
"293"	1	0	0	0	0	0	0	0	0
"294"	0.996	0	0	0.004	0	0	0	0	0
"295"	0.954	0	0	0.046	0	0	0	0	0
"296"	0.986	0	0	0.014	0	0	0	0	0
"297"	0.996	0	0	0.004	0	0	0	0	0
"298"	0.972	0	0	0.028	0	0	0	0	0
"299"	0.99	0	0	0.01	0	0	0	0	0
"300"	0.98	0	0	0.02	0	0	0	0	0
"301"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"302"	0.996	0	0	0.004	0	0	0	0	0
"303"	0.928	0.002	0	0.068	0.001996	0	0	0	4e-06
"304"	0.98	0	0	0.02	0	0	0	0	0
"305"	0.97	0	0	0.03	0	0	0	0	0
"306"	0.97	0	0	0.03	0	0	0	0	0
"307"	0.866	0.002	0.001996	0.128	0	0	0	0.002	4e-06
"308"	0.98	0	0	0.02	0	0	0	0	0
"309"	0.886	0	0	0.114	0	0	0	0	0
"310"	0.564	0.022	0.00992	0.402	0.001996	0	0	0	8.4e-05
"311"	0.986	0	0	0.014	0	0	0	0	0
"312"	0.576	0.004	0	0.416	0	0	0.001996	0.002	4e-06
"313"	0.99	0	0	0.01	0	0	0	0	0
"314"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"315"	0.96	0	0	0.04	0	0	0	0	0
"316"	0.944	0	0	0.054	0	0	0	0.002	0
"317"	0.714	0.002	0	0.284	0	0	0	0	0
"318"	0.994	0	0	0.006	0	0	0	0	0
"319"	0.994	0	0	0.006	0	0	0	0	0
"320"	0.816	0.004	0.001996	0.178	0	0	0	0	4e-06
"321"	1	0	0	0	0	0	0	0	0
"322"	1	0	0	0	0	0	0	0	0
"323"	0.782	0.002	0.001996	0.214	0	0	0	0	4e-06
"324"	0.752	0	0	0.246	0	0	0	0.002	0
"325"	0.656	0.008	0.007952	0.324	0	0	0.003984	0	6.4e-05
"326"	0.992	0	0	0.008	0	0	0	0	0
"327"	0.978	0	0	0.022	0	0	0	0	0
"328"	0.912	0	0	0.088	0	0	0	0	0
"329"	0.742	0.012	0.003984	0.242	0	0	0	0	1.6e-05
"330"	0.552	0.012	0	0.43	0	0	0	0.006	0
"331"	0.852	0.002	0	0.144	0	0	0	0.002	0
"332"	0.774	0.002	0	0.222	0	0	0	0.002	0
"333"	0.78	0.014	0.001996	0.194	0.001996	0	0	0.008	8e-06
"334"	0.94	0	0	0.06	0	0	0	0	0
"335"	0.956	0	0	0.044	0	0	0	0	0
"336"	0.818	0.002	0	0.18	0	0	0	0	0
"337"	0.898	0	0	0.102	0	0	0	0	0
"338"	0.952	0	0	0.048	0	0	0	0	0
"339"	0.942	0	0	0.056	0	0	0	0.002	0
"340"	0.988	0	0	0.012	0	0	0	0	0
"341"	0.786	0.002	0	0.21	0.001996	0	0	0	4e-06
"342"	1	0	0	0	0	0	0	0	0
"343"	1	0	0	0	0	0	0	0	0
"344"	0.996	0	0	0.004	0	0	0	0	0
"345"	0.988	0	0	0.012	0	0	0	0	0
"346"	0.992	0	0	0.008	0	0	0	0	0
"347"	0.954	0	0	0.046	0	0	0	0	0
"348"	0.778	0.008	0.002	0.212	0	0	0	0	0
"349"	0.978	0	0	0.022	0	0	0	0	0
"350"	0.992	0	0	0.008	0	0	0	0	0
"351"	0.962	0.002	0	0.036	0	0	0	0	0
"352"	0.856	0.002	0	0.142	0	0	0	0	0
"353"	0.936	0.002	0	0.062	0	0	0	0	0
"354"	1	0	0	0	0	0	0	0	0
"355"	0.874	0.002	0	0.122	0	0	0	0.002	0
"356"	0.986	0	0	0.014	0	0	0	0	0
"357"	0.864	0	0	0.134	0	0	0	0.002	0
"358"	0.99	0	0	0.01	0	0	0	0	0
"359"	1	0	0	0	0	0	0	0	0
"360"	0.922	0	0	0.078	0	0	0	0	0
"361"	0.932	0	0	0.068	0	0	0	0	0
"362"	0.998	0	0	0.002	0	0	0	0	0
"363"	0.694	0.01	0.002	0.292	0	0.001996	0	0	4e-06
"364"	0.932	0.004	0.001996	0.062	0	0	0	0	4e-06
"365"	0.996	0	0	0.004	0	0	0	0	0
"366"	0.964	0	0	0.036	0	0	0	0	0
"367"	0.902	0.006	0	0.092	0	0	0	0	0
"368"	0.794	0.008	0	0.192	0.002	0	0	0.004	0
"369"	0.942	0.002	0	0.056	0	0	0	0	0
"370"	0.96	0	0.001996	0.038	0	0	0	0	4e-06
"371"	0.99	0	0	0.01	0	0	0	0	0
"372"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"373"	0.97	0	0	0.03	0	0	0	0	0
"374"	0.966	0	0	0.034	0	0	0	0	0
"375"	1	0	0	0	0	0	0	0	0
"376"	0.708	0.004	0.005976	0.278	0	0.001996	0	0.002	2.8e-05
"377"	0.84	0.004	0	0.156	0	0	0	0	0
"378"	0.908	0	0	0.092	0	0	0	0	0
"379"	0.998	0	0	0.002	0	0	0	0	0
"380"	0.888	0	0	0.112	0	0	0	0	0
"381"	0.924	0	0	0.076	0	0	0	0	0
"382"	0.66	0.006	0.002	0.33	0	0	0	0.002	0
"383"	0.994	0	0	0.006	0	0	0	0	0
"384"	0.99	0	0	0.01	0	0	0	0	0
"385"	0.786	0.01	0	0.202	0	0	0.001996	0	4e-06
"386"	0.99	0	0	0.01	0	0	0	0	0
"387"	0.922	0	0	0.078	0	0	0	0	0
"388"	0.76	0.002	0.001996	0.236	0	0	0	0	4e-06
"389"	0.966	0	0	0.034	0	0	0	0	0
