"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"LG_SCRN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St1_SCRN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St2_SCRN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St3_SCRN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St4_SCRN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St1_MORT" 0.00367821346629262 0.0012925701046555 0.00225641070638748 0.000885558393162609 0.0022048265965858 0.00362598835848649 0.00189675209184195 0.00291293636891165 0.0020566329207076 0.00188456758534706 0.00427175043834963 0.00198051801669753 0.00218597099698373 0.0013614219663406 0.000891111565175045 0.00274524171670813 0.00419305455739057 0.00189518364986864 0.000195424491515155 0.00307293622003211 0.00791544601908278 0.00195854713821611 0.00185094430035343 0.00207078630115014 0.00195073546554603 0.00619634532404522 0.00018441000497612 0.0015624416069676 0.0027043431717925 0.00509583843109546 0.000815633041195764 0.00212012378777554 0.00171972083014358 0.00247095916806718 0.00175668273972207 0.0022142178802135 0.00238137969366359 0.00220570684525933 0.00293628520791568 0.00176882614690016 0.00105934893385067 0.000775033580893029 0.00192693701449202 0.00131738124730519 0.00298340336927622 0.00235668452211304 0.00369208972522226 0.00287911455151881 0.00301683455302219 0.00228184682438135 0.00148226597035186 0.00223906407856259 0.00196684223509734 0.00231072261590943 0.00233481693036285 0.00210814758852979 0.00429433597749595 0.00290371776117017 0.0028988362497782 0.00319307399905317 0.00383752278747856 0.00209554778753139 0.00158641576498398 0.00222699144046379 0.00388077608640128 0.00244756738289671 0.00144856447621028 0.00145416038818825 0.00212072956048614 0.00114480404359215 0.00141942685926098 0.00539044067778158 0.00270722131329181 0.00100680227232853 0.00190119684730873 0.00244371820717385 0.00206724833573493 0.00319537990877548 0.00279508485075129 0.00450873579504022 0.000406217835515428 0.00322500477152614 0.00127981838007767 0.00365266183825557 0.00247593860512116 0.00208805953735996 0.00149878418763988 0.00350025238383167 0.00248016660203617 0.00239293474523467 0.00206356065996339 0.00189346381441442 0.00113586238715128 0.0011282052423704 0.00249692551880567 0.0036674892837602 0.00206191955865855 0.00185689991414265 0.00123378700718133 0.00105117767073329
"HG_St2_MORT" 0.00229447796235769 0.00110275713614906 0.000595698386066401 0.000900741922000033 0.00155646059077076 0.00263028571452037 0.00145019727356504 0.00264909829999463 0.00112029613737593 0.00139437377003905 0.00265086910676939 0.0017432551043137 0.00148660644685173 0.00203434749223608 0.00144095256233284 0.00220716676176262 0.00300759973418214 0.00155766380119589 0.00080397574393776 0.00195807655591966 0.00308191359139746 0.00257774465733818 0.00145819300796413 0.00187885861611276 0.00150736564476155 0.003482889501969 0.000991576290662264 0.000798584802306682 0.00187620823518086 0.00261968050821438 0.000676794278502691 0.00214768956653759 0.000513061262917509 0.00150204356295924 0.000915854541974025 0.00152850988742405 0.00296218973328837 0.00154978008918712 0.00249892820182533 0.00070536675652295 0.000510882540233772 0.0009611341763193 0.00206073089566905 0.00181519452823216 0.00129623222078157 0.00203319194387718 0.00251789320267207 0.00194143687332081 0.00122844737096261 0.00123026637098333 0.00163175031704176 0.00091914499941627 0.00300246371170913 0.003140873999104 0.00148475671455461 0.00166704293587465 0.00254011448273534 0.00182251511760154 0.0026030383938349 0.0013778530812748 0.00394367115007067 0.00210642899306127 0.00117520584635213 0.00161231673427909 0.00161879931974939 0.0022440646211679 0.00188508477152065 0.00118563076432854 0.00268672487774308 0.0020960086318933 0.00172155510802997 0.00233624663990007 0.0026529453309191 0.00094882219518577 0.00158315521532341 0.000907080197415453 0.00136234192853724 0.00273360159343744 0.00138899488737704 0.00253779193561146 0.000934808858833347 0.00278474238008523 0.000990103762849492 0.00217146068909756 0.00167554898586389 0.000499105028308212 0.00194780556313887 0.00251034884978934 0.000739784398629497 0.000898141981208948 0.00129736738089027 0.00274421673692828 0.00162358197502671 0.00108100791762278 0.00188057845527397 0.00122560911366208 0.00160266224515142 0.00161098552869317 0.000782503025695861 0.000523334771194955
"HG_St3_MORT" 0.00196181627525648 0.000817048274656769 0.00114720871119407 0.00149783986485221 0.00176018083252284 0.002351662066452 0.000153311742653936 0.000728730563859602 0.000867021216266332 0.000588081463592009 0.00217438267261747 0.000631498839436828 0.000110764798620265 0.000297467332810313 0.000616359537682823 0.000961335495906105 0.00118133037807389 0.000845895793645903 0.000141431174138994 0.000928081460520941 0.00175521623266698 0.000936027267887401 0.000327211181363772 0.000207714323272811 0.000574537425529917 0.00228991382335975 0.000411535247291874 0.000128908037403533 0.000737004680454614 0.000712037872489857 0.000163253517686509 0.00164568366674804 0.000272712691218093 0.00097198503896041 0.00123655475087547 0.00139099635713217 0.0011980798004885 0.000430904503093284 0.00179986836690397 0.000320136295593544 0.000792997032407212 0.00114067960556267 0.000580440509366838 0.000912181130980694 0.000568514049178804 0.000939599655262427 0.00221048576111789 0.00130427321203297 0.00173919322208004 0.0011489322140898 0.00102130869823156 0.000740237933284964 0.000523270095468416 0.00164506792240853 0.000774230138737891 0.000199145936199728 0.000750504990485829 0.000911417178230672 0.000639220241209655 0.0017835425325943 0.00242373866695503 0.000581629994688656 0.00101082068462997 0 0.00220110242757788 0.000913430360506447 0.00143788615183365 0.000637714433033271 0.00147914982465639 0.00201739119702018 0.000681731567163772 0.000785327922104131 0.00146961169725117 0.000680742195578189 0.00112675177230997 0.000690494731771544 0.000573923941214176 0.00052778916265426 0.000829233849534949 0.00144762435760432 0.000828741096547473 0.00121267329291119 0.00102213084149641 0.000507091799532143 0.00174885274374559 0.000503846967169154 0.00117931589124914 0.00121390016392546 0 0.000819949956577195 0.00163674447236148 0.00101866408953504 0.000282123157245417 0.000131681567234232 0.00129964030433626 0.00275891013469617 0.000785505553762797 0.00153463957447749 0.000690364121643395 0.000232212500049659
"HG_St4_MORT" 0.0074667821049874 0.00371033270717024 0.00728762451478935 0.00409998086274744 0.00506994675520588 0.00894337506491801 0.0041888934534411 0.00754395296339771 0.00338098926968705 0.0044940512103147 0.0074187609470542 0.00492361575177454 0.00206326430322637 0.00567013923173568 0.00332056059179179 0.00756356563219191 0.00493094196664458 0.00580436705631926 0.00156412012825448 0.00625111053838971 0.00576254656828814 0.00601477799030478 0.00335703594074288 0.00421596423432875 0.00320220616243025 0.00336134840944415 0.00254498130860657 0.00375377873536527 0.00626188038430686 0.00650006469379854 0.00236295180726587 0.00448804068715368 0.00291235369688135 0.0059918626046133 0.00541781303839037 0.00373964462381862 0.00976608196196065 0.00685909973254032 0.00730367594156082 0.00465575793820472 0.00209163674334908 0.00409274896139371 0.00472796836665131 0.00546369238422067 0.00385042615683983 0.00677991901300178 0.00555047563371895 0.00507673410484988 0.00293152492427873 0.00728920660649066 0.00450941299759977 0.00430738243530685 0.00304790467208645 0.00766520793524588 0.00919410930799608 0.00541777444344928 0.00700978090932035 0.00441815789567263 0.0073635711658069 0.00967198579284011 0.0108606843928482 0.00506431786853591 0.00277452443484419 0.00570227466888394 0.0102985677151846 0.00724444501262402 0.00574594701578457 0.00210136163456476 0.00739614494963927 0.00695790110741275 0.00176411655439766 0.00468931469212699 0.00809896581611307 0.00234580925686843 0.00386086773167947 0.00368621886989262 0.0048871758576413 0.00479698120174174 0.010441369865582 0.00782324345965076 0.00537810845497813 0.0119075980471516 0.00526670175431302 0.00389289224741125 0.00582045399737476 0.00308546136888687 0.00494709747822974 0.00689653992628958 0.00388154790768538 0.00391976794972632 0.00724788270493045 0.00653665680714308 0.00364948950582386 0.00337290632666729 0.00602882152620931 0.00813423347505941 0.00429411425792018 0.00539269293649825 0.00177706835811321 0.00206998959798057
"Die_TURBT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
