"","P.onset","P.onset_low.risk","P.onset_age","RR.onset_sex","P.sympt.diag_LGBC","P.sympt.diag_St1","P.sympt.diag_St2","P.sympt.diag_St3","P.sympt.diag_St4","P.sympt.diag_Age","shape.t.StI.StII","shape.t.StII.StIII","shape.t.StIII.StIV","P.LGtoHGBC","P.ungiag.dead","Mean.t.StI.StII","Mean.t.StII.StIII","Mean.t.StIII.StIV","accept","posterior_current","posterior_proposal"
"22",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-59000.4091135984
"23",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-63337.4566361647
"24",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-71872.9015280746
"25",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-80057.5568748516
"26",5.79526860456022e-06,0.624944637549135,0.623980514776663,3.9891843993626,0.0370242741037352,0.144029943121614,0.148288366035627,0.365806845804092,0.599413361344525,0.580892244896604,0.92716849223582,0.675349940799858,0.3959386517942,0.00379402089827607,-0.00581611498668084,1.74981016170456,4.34558573402919,1.21466062311249,1,-60211.279342813,-60211.279342813
"27",5.79526860456022e-06,0.624944637549135,0.623980514776663,3.9891843993626,0.0370242741037352,0.144029943121614,0.148288366035627,0.365806845804092,0.599413361344525,0.580892244896604,0.92716849223582,0.675349940799858,0.3959386517942,0.00379402089827607,-0.00581611498668084,1.74981016170456,4.34558573402919,1.21466062311249,0,-60211.279342813,-61073.9119320353
"28",5.14005387622944e-06,0.757439426487771,0.480491958087882,2.84754690349532,0.0135862654624922,0.090386631974656,0.13096661013201,0.440992764589978,0.583838354094779,0.443730507110573,0.661746599066443,0.85460781694608,0.486465182551284,0.004218701612099,-0.00481485048209129,2.06382423629621,4.36813034077871,1.05900519071922,1,-59984.8013799888,-59984.8013799888
"29",5.14005387622944e-06,0.757439426487771,0.480491958087882,2.84754690349532,0.0135862654624922,0.090386631974656,0.13096661013201,0.440992764589978,0.583838354094779,0.443730507110573,0.661746599066443,0.85460781694608,0.486465182551284,0.004218701612099,-0.00481485048209129,2.06382423629621,4.36813034077871,1.05900519071922,0,-59984.8013799888,-61137.025026217
"30",5.14005387622944e-06,0.757439426487771,0.480491958087882,2.84754690349532,0.0135862654624922,0.090386631974656,0.13096661013201,0.440992764589978,0.583838354094779,0.443730507110573,0.661746599066443,0.85460781694608,0.486465182551284,0.004218701612099,-0.00481485048209129,2.06382423629621,4.36813034077871,1.05900519071922,0,-59984.8013799888,-63011.369827999
"31",8.13895502287107e-06,0.712247867057693,0.567358132728239,0.814818254504988,0.0153747244376894,0.0798702511812891,0.1802693334346,0.791860860408603,0.328434052765474,0.329065779589971,0.588956915494562,0.978974558202171,0.794171237533129,0.00477154903549115,-0.00591716186085476,2.0415939548887,3.5049033325089,1.38950847455996,1,-62861.9184000121,-62861.9184000121
